id,y,x,z,type,dist
9000,1000.0,1000.0004,100.0,CP,38.37652517047366
9001,1016.408,1004.087,99.986,CP,46.39866731922375
1,1016.498,1010.371,99.933,BC,42.99490637273216
2,1018.254,1009.923,99.787,BC,44.73728572454974
3,1000.165,1000.95,100.005,BC,37.6749114132999
4,985.397,1023.759,99.877,ROCK,12.131923961186054
5,978.354,1038.353,100.055,BC,9.509125617006056
6,976.694,1038.834,99.899,BC,10.354200741728027
9002,977.407,1038.539,100.046,CP,9.84836768200699
7,985.334,1023.857,99.902,ROCK,12.022789568149308
8,987.418,1020.213,99.916,ROCK,15.608100749290442
9,988.374,1018.015,99.981,ROCK,17.734043588533346
10,987.521,1015.044,102.044,ROCK,19.19683341074771
11,986.708,1014.21,102.748,ROCK,19.482870630376773
12,985.446,1014.099,103.064,ROCK,19.12340746310652
13,982.915,1016.67,104.099,ROCK,15.878656303352642
14,980.281,1019.11,103.981,ROCK,13.249572898776746
16,976.829,1022.252,106.041,P,10.31613231787964
17,976.936,1015.673,108.051,P,16.671762534297297
18,979.39,1012.72,106.819,P,19.31072398953489
19,981.061,1010.462,107.487,P,21.589798841119382
20,983.01,1008.249,106.462,P,23.963277843400267
21,985.179,1006.142,106.643,P,26.38902070937829
22,987.014,1003.138,106.174,P,29.726892471296043
23,989.954,999.421,105.135,P,34.12731137959735
25,995.819,993.205,105.359,P,41.93738078373511
26,998.452,993.148,104.034,P,43.11930036538159
27,1001.832,993.049,102.62,P,44.86926659752754
28,1010.377,986.873,102.901,P,54.554499896892025
29,1007.306,989.908,102.653,P,50.36278932902744
30,1004.497,992.897,102.602,P,46.35340075981474
31,1010.326,986.435,101.277,P,55.032979112528565
32,1006.654,990.748,101.06,P,49.471608423417926
33,1004.309,992.9,101.114,P,46.415394181241204
34,1001.193,993.774,101.455,P,44.05958998901373
35,997.698,994.66,101.868,P,41.64262249186524
36,994.771,996.875,102.834,P,38.336724977493816
37,992.036,1000.351,102.653,P,34.14343313142365
38,990.019,1002.401,102.247,P,31.61302533766742
39,987.811,1005.512,102.517,P,27.98258805042884
40,986.997,1007.27,102.932,P,26.02662776849893
41,987.327,1007.868,102.416,ROCK,25.637248467805527
42,989.254,1008.898,101.61,ROCK,25.46388108674714
43,989.87,1009.513,101.505,ROCK,25.164172428275844
44,989.498,1010.255,101.373,ROCK,24.3854595609761
45,988.713,1010.241,101.828,ROCK,24.00266597692847
46,987.251,1009.546,102.79,ROCK,23.972351511689396
47,986.501,1009.256,103.253,ROCK,23.95560197532094
48,985.654,1011.736,103.716,P,21.298858373161693
49,983.152,1014.405,104.56,P,18.05020080220718
50,980.115,1017.155,104.381,P,15.08565580278167
51,977.853,1020.126,105.541,P,12.171622981344775
52,978.55,1023.952,104.512,P,8.555546037512732
53,987.837,1014.628,101.925,P,19.718970003527012
54,989.611,1011.647,101.116,P,23.261168629284246
55,990.604,1009.958,100.425,P,25.324464949925435
56,991.778,1005.46,100.38,P,29.78001114841964
57,993.837,1002.921,100.81,P,32.792695680593205
58,995.702,999.629,101.473,P,36.401916625364635
59,997.479,997.774,101.183,P,38.86982745009296
60,998.66,996.923,99.848,P,40.369387077338665
61,1000.508,996.348,99.939,P,41.730131188387176
